Ward_Name,Population,F0_15,F0_15_Percent,F16_64,F16_64_Percent,F65_,F65__Perc,Size_in_hectares,Population_Density,Household_Income_Rank,Claimant_Count,Claimant_Percent,KS4_Eng_and_Maths,KS4_5_plus_inc_Eng_and_Maths,KS5___Avg_points_per_pupil,Total_Crimes,Crime_rate,Burglary,Burglary_Percent,Robbery,Robbery_Percent,Vehicle,Vehicle_Percent,Violence_Person,Violence_Person_Percent,Criminal_Damage,Criminal_Damage_Percent,Other_Crime,Other_Crime_Percent,Households,Band_A,Band_A_Percent,Band_B,Band_B_Percent,Band_C,Band_C_Percent,Band_D,Band_D_Percent,Band_E,Band_E_Percent,Band_F,Band_F_Percent,Band_G,Band_G_Percent,Band_H,Band_H_Percent,Second_Homes,Second_Homes_Percent,Single_Occupier,Single_Occupier_Percent,Long_Term_Empty_unfurnished,Long_Term_Empty_unfurnished_Per,Student_Exemption,Student_Exemption_Percent,Social_Housing,Social_Housing_Percent,House_Prices_Median,Fuel_Poverty_Percent,Fuel_Poverty_Quintile,Fuel_Poverty_Rank,First_Similar_Ward,Second_Similar_Ward,Third_Similar_Ward,Acorn_Affuent_Achievers,Acorn_Rising_Prosperity,Acorn_Comfortable_Communities,Acorn_Financially_Stretched,Acorn_Urban_Adversity,Acorn_Not_Private_Residences,IMD_Overall_Quintile,IMD_Overall_Rank,IMD_Income_Quintile,IMD_Income_Rank,IMD_Employment_Quintile,IMD_Employment_Rank,IMD_Edu_Skills_Quintile,IMD_Edu_Skills_Rank,IMD_Health_Disab_Quintile,IMD_Health_Disab_Rank,IMD_Crime_Quintile,IMD_Crime_Rank,IMD_Housing_Quintile,IMD_Housing_Rank,IMD_Living_Quintile,IMD_Living_Rank,x,y,Location,Acorn,ObjectId
Sandbach Town,4800,700,15.2,2700,57.2,1300,27.6,339,14.1,31,25,0.9,84,36,117.8,312,65.1,16,5.1,,0,30,9.6,82,26.3,48,15.4,184,59,2307,320,14,523,23,435,19,354,15,379,16,230,10,61,3,5,0,10,0,777,34,65,3,4,0,200,8.7,186500,8.5,Fourth,37,Willaston and Rope,Nantwich South and Stapeley,Alsager,49.9,8.5,26.5,9.3,5.3,0.6,Fourth,30,Fourth,22,Fourth,23,Fourth,25,Third,19,Lowest,41,Fourth,42,Third,31,375694,361558,"(53.1506, -2.3649)",,44
Sutton,4200,600,15.3,2400,57.6,1100,27,9047,0.5,11,15,0.6,87.5,37.5,135,85,20.2,13,15.3,,0,10,11.8,13,15.3,10,11.8,49,57.6,1934,28,1,179,9,523,27,287,15,378,20,240,12,273,14,26,1,20,1,515,27,24,1,2,0,190,9.6,241250,11.9,Second,11,Brereton Rural,High Legh,Gawsworth,60.7,1.8,26.8,8.8,0,1.9,Fourth,26,Fourth,26,Fourth,26,Lowest,30,Fourth,28,Lowest,44,Second,11,Third,16,396568,371407,"(53.2397, -2.0529)",,45
Willaston and Rope,4700,700,15.4,2800,60.4,1100,24.2,365,12.8,22,20,0.7,82.2,28.9,96.8,62,13.2,12,19.4,1,1.6,23,37.1,10,16.1,10,16.1,16,25.8,2033,56,3,206,10,475,23,733,36,333,16,159,8,70,3,1,0,12,1,519,26,22,1,4,0,40,2,199500,7.7,Fourth,43,Alsager,Sandbach Town,Macclesfield Tytherington,77.6,3,15.9,3.6,0,0,Lowest,47,Lowest,50,Lowest,40,Lowest,38,Fourth,38,Lowest,43,Fourth,23,Fourth,37,368510,352527,"(53.069, -2.4714)",,46
Wilmslow Dean Row,4600,800,17.7,3000,66.4,700,15.9,333,13.8,2,15,0.5,86.4,22.7,134.2,78,17,22,28.2,,0,7,9,14,17.9,9,11.5,35,44.9,2086,188,9,91,4,489,23,231,11,255,12,367,18,442,21,23,1,15,1,665,32,34,2,4,0,40,1.7,348750,5,Lowest,51,Wilmslow East,Prestbury,Alderley Edge*,64.4,22.8,8.2,2.8,0.2,1.7,Lowest,41,Lowest,45,Lowest,49,Lowest,47,Lowest,51,Fourth,22,Top,9,Fourth,42,386548,381632,"(53.3314, -2.2034)",,47
Wilmslow East,4400,800,17.5,2500,56.2,1200,26.2,594,7.5,4,10,0.4,75,39.3,124.1,233,52.5,14,6,1,0.4,15,6.4,62,26.6,26,11.2,141,60.5,1851,6,0,57,3,121,7,259,14,237,13,551,30,512,28,108,6,19,1,503,27,34,2,,0,30,1.8,478085,7.8,Fourth,42,Prestbury,Alderley Edge,Wilmslow Dean Row,85.4,5.3,8.6,0.7,0,0,Lowest,52,Lowest,51,Lowest,52,Lowest,52,Lowest,52,Lowest,35,Third,19,Fourth,50,385448,380075,"(53.3174, -2.2199)",,48
Wilmslow Lacey Green,4900,900,18,3100,62.5,1000,19.4,707,7,26,40,1.3,63.6,20.5,96.8,186,37.6,25,13.4,2,1.1,8,4.3,63,33.9,28,15.1,88,47.3,2116,171,8,682,32,269,13,199,9,225,11,284,13,261,12,25,1,19,1,699,33,43,2,1,0,310,14.7,306250,10.4,Third,17,Wilmslow East,Prestbury,Alderley Edge*,44.3,0.9,11.1,32.1,3.8,7.9,Third,14,Third,13,Third,15,Third,10,Third,16,Second,5,Third,16,Third,25,383907,383349,"(53.3468, -2.2432)",,49
Wilmslow West and Chorley,10100,2100,21,5900,58.6,2100,20.4,1121,9,6,35,0.6,80.7,40.9,119.1,236,23.3,49,20.8,2,0.8,23,9.7,33,14,29,12.3,129,54.7,4424,71,2,214,5,793,18,1165,26,892,20,629,14,635,14,25,1,35,1,1352,31,70,2,4,0,100,2.2,340000,9,Third,29,Alderley Edge,Wilmslow East,Poynton West and Adlington,80.3,4.7,12.1,2.8,0,0,Lowest,51,Lowest,46,Lowest,50,Lowest,50,Lowest,46,Fourth,32,Fourth,41,Fourth,35,382844,380588,"(53.3219, -2.259)",,50
Wistaston,8900,1300,14.7,5300,59.1,2300,26.2,942,9.5,33,30,0.6,68.9,25.6,98.2,197,22.1,47,23.9,1,0.5,22,11.2,47,23.9,37,18.8,80,40.6,4065,326,8,828,20,1192,29,836,21,544,13,249,6,89,2,1,0,22,1,1100,27,47,1,6,0,140,3.4,171375,7.9,Fourth,41,Congleton West,Congleton East,Alsager,55.5,1.1,36.2,6.5,0.7,0,Fourth,36,Fourth,32,Fourth,28,Fourth,22,Fourth,24,Fourth,23,Fourth,29,Fourth,43,367537,354495,"(53.0867, -2.4861)",,51
Wrenbury,4600,700,15.8,2700,59.3,1200,24.9,11363,0.4,24,15,0.5,70,20,127.1,116,25.1,23,19.8,1,0.9,10,8.6,30,25.9,10,8.6,52,44.8,2060,164,8,165,8,293,14,328,16,287,14,363,18,416,20,44,2,23,1,450,22,71,3,,0,140,6.9,351188,22.7,Top,1,Gawsworth,Brereton Rural,Bunbury,63.9,0,29.7,6.5,0,0,Third,12,Fourth,24,Fourth,34,Lowest,29,Lowest,45,Fourth,31,Top,1,Top,2,356725,351492,"(53.0589, -2.6472)",,52
Wybunbury,5600,1100,19.3,3500,62,1000,18.7,5016,1.1,9,15,0.4,64.9,13.5,102.4,79,14.2,9,11.4,,0,8,10.1,20,25.3,8,10.1,42,53.2,2235,51,2,148,7,326,15,457,20,307,14,307,14,613,27,26,1,28,1,448,20,23,1,,0,50,2.3,247750,10,Third,19,High Legh,Chelford,Gawsworth,75,6.3,16.2,2.5,0,0,Fourth,35,Lowest,49,Lowest,46,Lowest,44,Lowest,49,Lowest,52,Top,7,Third,21,371189,347671,"(53.0255, -2.431)",,53
